tabla,orden,atributo,tipo_dato,longitud,permite_null,valor_por_defecto
actividades_adulto,1,cod_act_adul,integer,,NO,nextval('actividades_adulto_cod_act_adul_seq'::regclass)
actividades_adulto,2,fecha,date,,NO,
actividades_adulto,3,hora,time without time zone,,YES,
actividades_adulto,4,obs,text,,YES,
actividades_adulto,5,estado,character varying,100,NO,
actividades_adulto,6,cod_tipo_act,integer,,NO,
actividades_adulto,7,cod_am,character varying,10,NO,
actividades_adulto,8,hora_fin,time without time zone,,YES,
actividades_adulto,9,responsable_tipo,character varying,255,YES,
actividades_adulto,10,responsable_id,integer,,YES,
actividades_adulto,11,created_at,timestamp without time zone,,YES,
actividades_adulto,12,updated_at,timestamp without time zone,,YES,
activity_log,1,id,bigint,,NO,nextval('activity_log_id_seq'::regclass)
activity_log,2,log_name,character varying,255,YES,
activity_log,3,description,text,,NO,
activity_log,4,subject_type,character varying,255,YES,
activity_log,5,subject_id,character varying,36,YES,
activity_log,6,causer_type,character varying,255,YES,
activity_log,7,causer_id,character varying,36,YES,
activity_log,8,properties,json,,YES,
activity_log,9,created_at,timestamp without time zone,,YES,
activity_log,10,updated_at,timestamp without time zone,,YES,
activity_log,11,event,character varying,255,YES,
activity_log,12,batch_uuid,uuid,,YES,
adulto_mayor,1,cod_am,character varying,10,NO,
adulto_mayor,2,nombres,character varying,100,NO,
adulto_mayor,3,ap_paterno,character varying,80,NO,
adulto_mayor,4,ap_materno,character varying,80,YES,
adulto_mayor,5,ci,character varying,20,YES,
adulto_mayor,6,fecha_nac,date,,NO,
adulto_mayor,7,genero,character varying,100,NO,
adulto_mayor,8,estado_civil,character varying,100,YES,
adulto_mayor,9,telefono,character varying,20,YES,
adulto_mayor,10,zona,character varying,100,YES,
adulto_mayor,11,calle,character varying,150,YES,
adulto_mayor,12,fecha_ing,date,,NO,
adulto_mayor,13,tipo_ing,character varying,100,NO,
adulto_mayor,14,permanencia,character varying,50,YES,
adulto_mayor,15,nivel_educat,character varying,100,YES,
adulto_mayor,16,observaciones,text,,YES,
adulto_mayor,17,cod_est_adul,integer,,NO,
adulto_mayor,18,created_at,timestamp without time zone,,YES,
adulto_mayor,19,updated_at,timestamp without time zone,,YES,
adulto_mayor,20,foto,character varying,2048,YES,
adulto_mayor,21,archivado_en,timestamp without time zone,,YES,
adulto_mayor,22,motivo_archivado,text,,YES,
adulto_mayor,23,hora_ing,time without time zone,,YES,
adulto_mayor,24,complemento_ci,character varying,2,YES,
adulto_mayor,25,expedicion_ci,character varying,2,YES,
adulto_mayor,26,celular,character varying,8,YES,
adulto_mayor,27,telefono_fijo,character varying,10,YES,
adulto_mayor,28,departamento_residencia,character varying,50,YES,
